tconst	averageRating	numVotes
tt0099195	5.2	38
tt0099197	6.9	3685
tt0099198	6.1	18
tt0099200	6.2	847
tt0099201	5.7	11
tt0099204	5.7	14607
tt0099205	5.7	24
tt0099209	6.1	160
tt0099210	5.9	177
tt0099212	5.7	1063
tt0099213	7	28
tt0099214	6.8	52
tt0099215	6.8	193
tt0099216	5.7	19
tt0099218	6.6	195
tt0099219	5.3	69
tt0099220	5.7	43
tt0099221	5.8	44
tt0099224	4.2	14
tt0099225	7.2	470
tt0099226	6.5	243
tt0099227	4.2	181
tt0099228	4.6	70
tt0099229	6	118
tt0099230	7.1	47
tt0099232	8.3	8
tt0099233	3.4	20
tt0099234	7.1	272
tt0099236	6.2	309
tt0099237	5.8	375
tt0099240	6.4	225
tt0099241	7.2	453
tt0099244	4.3	104
tt0099245	5.3	123
tt0099246	6	114
tt0099249	6.3	41
tt0099250	5	753
tt0099252	5.6	473
tt0099253	5.9	52245
tt0099254	6.1	296
tt0099255	6.7	116
tt0099257	7.1	49
tt0099259	6	589
tt0099260	5.2	1272
tt0099261	4.8	63
tt0099262	6.6	256
tt0099264	5.2	128
tt0099265	6.5	227
tt0099266	7.6	5299
tt0099267	6.7	254
tt0099268	6.4	574
tt0099271	4.6	928
tt0099272	7	318
tt0099273	8.4	3793
tt0099274	6.3	126
tt0099275	6.3	58
tt0099276	4.5	134
tt0099277	5.9	7781
tt0099278	3.1	379
tt0099280	3.2	332
tt0099284	5.9	65
tt0099286	5.6	498
tt0099290	7.2	993
tt0099291	6.7	2861
tt0099292	6.3	5578
tt0099293	5.8	1492
tt0099295	6.4	137
tt0099296	6.1	291
tt0099297	5	60
tt0099298	5.7	240
tt0099299	4.9	31
tt0099300	5.8	679
tt0099302	4.4	124
tt0099304	6.8	17
tt0099305	3.9	235
tt0099307	6.5	202
tt0099308	5.5	16
tt0099310	6.6	2524
tt0099311	6.9	223
tt0099312	4.3	1457
tt0099314	5.3	312
tt0099315	5.3	36
tt0099316	6	4684
tt0099320	4.5	38
tt0099321	6.4	358
tt0099323	5.5	622
tt0099326	7.4	13
tt0099327	5.7	1054
tt0099328	6.2	463
tt0099329	6.4	60973
tt0099330	3.6	135
tt0099331	6.3	48
tt0099332	5.2	245
tt0099333	4.4	106
tt0099334	7.5	24485
tt0099336	6.8	64
tt0099338	6.8	176
tt0099339	6.8	148
tt0099340	6.8	132
tt0099341	6.9	791
tt0099342	5.7	834
tt0099343	6.9	51
tt0099344	5.6	152
tt0099345	7	38
tt0099347	5.7	45
tt0099348	8	265172
tt0099349	6.8	385
tt0099350	7	15
tt0099351	4.1	344
tt0099352	6.4	255
tt0099353	6.5	16
tt0099355	4	61
tt0099356	6.8	630
tt0099357	4.5	169
tt0099358	5.3	115
tt0099359	7.4	8
tt0099360	4.8	94
tt0099364	4.9	2634
tt0099365	6.4	65126
tt0099367	5.3	13
tt0099368	5	863
tt0099369	6	231
tt0099371	6.1	89405
tt0099372	7.6	80
tt0099374	4.1	292
tt0099375	5.5	110
tt0099376	4.8	313
tt0099378	5.4	282
tt0099379	5.2	44
tt0099381	4.7	954
tt0099382	6.5	50
tt0099385	5.7	19076
tt0099386	7.5	1253
tt0099387	5.7	2423
tt0099388	3.7	981
tt0099389	6.3	350
tt0099390	4.5	279
tt0099391	7.2	506
tt0099394	5.5	76
tt0099395	5	1938
tt0099396	5.5	213
tt0099397	5.6	1000
tt0099398	7	197
tt0099399	4.9	7586
tt0099401	4.9	2719
tt0099402	5.2	97
tt0099403	4.6	36
tt0099405	6	389
tt0099406	6.2	485
tt0099407	5.9	117
tt0099409	5.4	7714
tt0099410	6.1	46
tt0099411	5.9	39
tt0099413	5.7	50
tt0099414	4.3	71
tt0099415	5	825
tt0099416	4.9	59
tt0099417	7.4	14
tt0099421	5.1	9
tt0099422	6.2	62360
tt0099423	7.1	361382
tt0099424	6.3	16
tt0099425	5.9	21
tt0099426	7.5	10888
tt0099428	4.6	35
tt0099429	6.6	5386
tt0099430	5.5	524
tt0099431	6.1	30
tt0099432	6	669
tt0099433	4.4	8
tt0099436	7	1013
tt0099437	7.8	157
tt0099438	3.8	29
tt0099439	6.8	43
tt0099440	5.1	136
tt0099441	5.1	1865
tt0099442	5.6	63
tt0099443	4.8	24
tt0099444	5	9
tt0099445	4.8	487
tt0099446	6.9	664
tt0099449	6.1	108
tt0099450	5.7	3020
tt0099451	7.1	123
tt0099452	4	33
tt0099453	5.6	182
tt0099454	5.8	13
tt0099455	5.9	38
tt0099459	3.8	217
tt0099460	5.6	2014
tt0099461	3.2	158
tt0099462	5.1	875
tt0099463	5.6	300
tt0099464	7.2	539
tt0099466	7.2	51
tt0099467	7.3	98
tt0099471	6.8	17
tt0099472	6.8	27105
tt0099474	3.9	465
tt0099475	6.2	6
tt0099476	6.8	68
tt0099477	4	11
tt0099478	4.8	19
tt0099479	6	1402
tt0099480	6.2	302
tt0099481	6.7	8
tt0099484	5.5	3927
tt0099486	8.6	17
tt0099487	7.9	488354
tt0099493	6.1	922
tt0099494	7	14
tt0099495	2.7	18
tt0099498	4.8	197
tt0099502	4.4	141
tt0099503	7.5	40
tt0099504	8.2	27
tt0099505	2.3	8
tt0099506	5.5	497
tt0099507	5.5	22
tt0099508	6.2	322
tt0099511	7.1	21
tt0099512	5.4	9604
tt0099514	7.3	8
tt0099515	7.4	17
tt0099517	4.9	102
tt0099518	5.5	14
tt0099519	6.2	23
tt0099520	5.1	1219
tt0099522	5	207
tt0099523	4.5	268
tt0099524	4	3028
tt0099525	6.1	11
tt0099527	4.8	56
tt0099528	6.5	32502
tt0099529	6.4	57
tt0099531	6.7	128
tt0099533	6.8	11
tt0099534	5.5	242
tt0099535	6.5	104
tt0099536	5.3	71
tt0099537	7.5	36
tt0099538	5.7	234
tt0099539	7.8	9
tt0099540	5.9	33
tt0099541	5.2	150
tt0099544	6.3	14
tt0099545	5.8	1494
tt0099546	4.9	1138
tt0099547	6	38
tt0099549	6.1	43
tt0099550	5.4	108
tt0099554	3.5	182
tt0099556	2.8	57
tt0099557	6	1228
tt0099558	7.2	20925
tt0099559	7.8	9
tt0099560	4.6	45
tt0099561	7.1	16
tt0099562	3.1	244
tt0099563	4.6	23
tt0099564	3.9	1030
tt0099566	7.3	6226
tt0099567	5.3	464
tt0099568	5.3	131
tt0099569	7.9	48
tt0099572	4.1	271
tt0099574	6.2	417
tt0099575	4.7	6660
tt0099577	2.6	451
tt0099578	5.7	4345
tt0099579	5.1	49
tt0099581	6.2	5478
tt0099582	6.5	87614
tt0099583	5.3	24
tt0099584	6.5	14
tt0099587	5.7	7207
tt0099588	7.2	12
tt0099592	6.9	43
tt0099593	6.9	115
tt0099594	5.4	238
tt0099595	3.8	1784
tt0099596	7.2	93
tt0099597	6.4	30
tt0099598	5.5	24
tt0099599	6.1	72
tt0099600	8	62
tt0099602	5.6	57
tt0099604	5.6	29
tt0099606	5.6	1675
tt0099607	6.6	330
tt0099609	4.7	85
tt0099610	5.3	423
tt0099611	6.2	11319
tt0099612	5.4	3874
tt0099613	2.6	201
tt0099615	6.4	20764
tt0099620	7.7	222
tt0099621	5.6	68
tt0099622	3.1	156
tt0099623	4.8	1482
tt0099625	3.4	621
tt0099627	7.1	20
tt0099629	6.5	975
tt0099631	6.3	32
tt0099632	3.5	175
tt0099633	4.7	11
tt0099634	6.4	990
tt0099635	7.2	108
tt0099636	4.7	2359
tt0099637	5.5	3461
tt0099638	5.7	45
tt0099639	8.2	82
tt0099640	3.9	14
tt0099641	6.3	12
tt0099642	4.9	169
tt0099648	4.2	438
tt0099649	6.8	231
tt0099651	6	409
tt0099652	7.7	4590
tt0099653	7.1	217287
tt0099654	4.4	8103
tt0099655	5.9	745
tt0099658	4.9	27
tt0099659	6.6	101
tt0099660	6.1	69
tt0099662	6.4	218
tt0099663	4.9	149
tt0099665	4.3	20
tt0099668	5.7	691
tt0099669	7.6	6608
tt0099670	7.5	414
tt0099671	6.7	55
tt0099672	5.3	45
tt0099673	6.5	989
tt0099674	7.6	395833
tt0099675	3.4	790
tt0099677	6.3	130
tt0099678	6.3	106
tt0099680	5.5	120
tt0099681	5.7	35
tt0099682	7.4	143
tt0099684	5.9	188
tt0099685	8.7	1148796
tt0099686	3.9	124
tt0099688	3.2	11
tt0099691	4.4	2097
tt0099692	5.7	117
tt0099693	8.1	13
tt0099696	7.2	597
tt0099697	4.9	11515
tt0099699	6.3	24666
tt0099700	6.4	104088
tt0099701	4.7	2366
tt0099702	5	12
tt0099703	6.9	28363
tt0099704	5.4	1036
tt0099706	7.3	57
tt0099708	5.2	6
tt0099709	5.9	37
tt0099710	5.3	5809
tt0099711	5.1	97
tt0099712	6	17
tt0099715	3.8	459
tt0099716	5.8	7
tt0099717	7.1	37
tt0099718	5.5	68
tt0099719	7	616
tt0099720	4.4	1318
tt0099721	7.1	401
tt0099722	5.7	16
